"Order Date","Ship Date","Ship Mode","Segment","Country","City","State","Postal Code","Region","Category...10","Sub-Category...11","Product Name...12","Category...13","Sub-Category...14","Product Name...15","Sales"
2017-11-08,2017-11-11,"Second Class","Consumer","United States","Henderson","Kentucky",42420,"South","Furniture","Bookcases","Bush Somerset Collection Bookcase","Furniture","Bookcases","Bush Somerset Collection Bookcase",261.96
2017-11-08,2017-11-11,"Second Class","Consumer","United States","Henderson","Kentucky",42420,"South","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94
2017-06-12,2017-06-16,"Second Class","Corporate","United States","Los Angeles","California",90036,"West","Office Supplies","Labels","Self-Adhesive Address Labels for Typewriters by Universal","Office Supplies","Labels","Self-Adhesive Address Labels for Typewriters by Universal",14.62
2016-10-11,2016-10-18,"Standard Class","Consumer","United States","Fort Lauderdale","Florida",33311,"South","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table","Furniture","Tables","Bretford CR4500 Series Slim Rectangular Table",957.5775
2016-10-11,2016-10-18,"Standard Class","Consumer","United States","Fort Lauderdale","Florida",33311,"South","Office Supplies","Storage","Eldon Fold 'N Roll Cart System","Office Supplies","Storage","Eldon Fold 'N Roll Cart System",22.368
2015-06-09,2015-06-14,"Standard Class","Consumer","United States","Los Angeles","California",90032,"West","Furniture","Furnishings","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","Furniture","Furnishings","Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86
2015-06-09,2015-06-14,"Standard Class","Consumer","United States","Los Angeles","California",90032,"West","Office Supplies","Art","Newell 322","Office Supplies","Art","Newell 322",7.28
2015-06-09,2015-06-14,"Standard Class","Consumer","United States","Los Angeles","California",90032,"West","Technology","Phones","Mitel 5320 IP Phone VoIP phone","Technology","Phones","Mitel 5320 IP Phone VoIP phone",907.152
2015-06-09,2015-06-14,"Standard Class","Consumer","United States","Los Angeles","California",90032,"West","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill",18.504
2015-06-09,2015-06-14,"Standard Class","Consumer","United States","Los Angeles","California",90032,"West","Office Supplies","Appliances","Belkin F5C206VTEL 6 Outlet Surge","Office Supplies","Appliances","Belkin F5C206VTEL 6 Outlet Surge",114.9
2015-06-09,2015-06-14,"Standard Class","Consumer","United States","Los Angeles","California",90032,"West","Furniture","Tables","Chromcraft Rectangular Conference Tables","Furniture","Tables","Chromcraft Rectangular Conference Tables",1706.184
2015-06-09,2015-06-14,"Standard Class","Consumer","United States","Los Angeles","California",90032,"West","Technology","Phones","Konftel 250 Conference phone - Charcoal black","Technology","Phones","Konftel 250 Conference phone - Charcoal black",911.424
2018-04-15,2018-04-20,"Standard Class","Consumer","United States","Concord","North Carolina",28027,"South","Office Supplies","Paper","Xerox 1967","Office Supplies","Paper","Xerox 1967",15.552
2017-12-05,2017-12-10,"Standard Class","Consumer","United States","Seattle","Washington",98103,"West","Office Supplies","Binders","Fellowes PB200 Plastic Comb Binding Machine","Office Supplies","Binders","Fellowes PB200 Plastic Comb Binding Machine",407.976
2016-11-22,2016-11-26,"Standard Class","Home Office","United States","Fort Worth","Texas",76106,"Central","Office Supplies","Appliances","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter","Office Supplies","Appliances","Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81
2016-11-22,2016-11-26,"Standard Class","Home Office","United States","Fort Worth","Texas",76106,"Central","Office Supplies","Binders","Storex DuraTech Recycled Plastic Frosted Binders","Office Supplies","Binders","Storex DuraTech Recycled Plastic Frosted Binders",2.544
2015-11-11,2015-11-18,"Standard Class","Consumer","United States","Madison","Wisconsin",53711,"Central","Office Supplies","Storage","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","Office Supplies","Storage","Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88
2015-05-13,2015-05-15,"Second Class","Consumer","United States","West Jordan","Utah",84084,"West","Office Supplies","Storage","Fellowes Super Stor/Drawer","Office Supplies","Storage","Fellowes Super Stor/Drawer",55.5
2015-08-27,2015-09-01,"Second Class","Consumer","United States","San Francisco","California",94109,"West","Office Supplies","Art","Newell 341","Office Supplies","Art","Newell 341",8.56
2015-08-27,2015-09-01,"Second Class","Consumer","United States","San Francisco","California",94109,"West","Technology","Phones","Cisco SPA 501G IP Phone","Technology","Phones","Cisco SPA 501G IP Phone",213.48
2015-08-27,2015-09-01,"Second Class","Consumer","United States","San Francisco","California",94109,"West","Office Supplies","Binders","Wilson Jones Hanging View Binder, White, 1""","Office Supplies","Binders","Wilson Jones Hanging View Binder, White, 1""",22.72
2017-12-09,2017-12-13,"Standard Class","Corporate","United States","Fremont","Nebraska",68025,"Central","Office Supplies","Art","Newell 318","Office Supplies","Art","Newell 318",19.46
2017-12-09,2017-12-13,"Standard Class","Corporate","United States","Fremont","Nebraska",68025,"Central","Office Supplies","Appliances","Acco Six-Outlet Power Strip, 4' Cord Length","Office Supplies","Appliances","Acco Six-Outlet Power Strip, 4' Cord Length",60.34
2018-07-16,2018-07-18,"Second Class","Consumer","United States","Philadelphia","Pennsylvania",19140,"East","Furniture","Chairs","Global Deluxe Stacking Chair, Gray","Furniture","Chairs","Global Deluxe Stacking Chair, Gray",71.372
